account_id,customer_id,account_type,currency,balance,opened_date,status
ACC_000000,CUST_03056,savings,EUR,7040.49,2022-06-22,suspended
ACC_000001,CUST_01561,savings,USD,$814.34,31-02-2020,active
ACC_000002,CUST_02038,savings,USD,2885.04,2025-12-05,closed
ACC_000003,CUST_02556,savings,GBP,5171.28,2022-05-07,closed
ACC_000004,CUST_04123,checking,GBP,5679.57,2023-02-25,active
ACC_000005,CUST_00374,checking,EUR,3011.31,2022-03-19,closed
ACC_000006,CUST_04262,checking,EUR,6429.37,2023-05-08,suspended
ACC_000007,CUST_01096,checking,EUR,4894.15,2024-05-26,closed
ACC_000008,CUST_01543,savings,EUR,$-2729.89,2022-04-30,active
ACC_000009,CUST_01871,savings,USD,$3284.99,2025-04-18,active
ACC_000010,CUST_01730,savings,USD,3199.32,2024-06-10,suspended
ACC_000011,CUST_01384,savings,EUR,7034.82,2025-03-23,suspended
ACC_000012,CUST_00306,checking,USD,7088.18,2022-03-04,closed
ACC_000013,CUST_04380,savings,USD,-16.31,2021-12-16,active
ACC_000014,CUST_00885,savings,GBP,6315.42,2022-11-04,suspended
ACC_000015,CUST_00948,checking,EUR,4778.11,2022-08-26,closed
ACC_000016,CUST_01012,checking,EUR,5379.27,2026-01-06,suspended
ACC_000017,CUST_01254,savings,USD,3158.52,2021-12-13,suspended
ACC_000018,CUST_00076,checking,EUR,4814.51,2024-09-21,suspended
ACC_000019,CUST_00827,checking,USD,8450.98,2022-08-07,suspended
ACC_000020,CUST_01123,checking,GBP,5336.56,2022-01-28,suspended
ACC_000021,CUST_00964,checking,GBP,4872.72,2025-03-20,active
ACC_000022,CUST_04077,savings,USD,3562.39,2022-12-11,active
ACC_000023,CUST_02154,savings,EUR,8156.77,2023-06-15,suspended
ACC_000024,CUST_03356,checking,GBP,1157.64,2021-02-23,active
ACC_000025,CUST_04490,checking,GBP,2594.09,2024-06-07,suspended
ACC_000026,CUST_03937,checking,GBP,985.37,2023-12-22,active
ACC_000027,CUST_00104,savings,GBP,5602.06,2023-01-09,suspended
ACC_000028,CUST_04047,savings,GBP,8539.24,2025-05-07,suspended
ACC_000029,CUST_00614,savings,EUR,4013.61,2023-09-13,suspended
ACC_000030,CUST_01893,checking,EUR,1791.78,2021-10-13,closed
ACC_000031,CUST_03803,savings,GBP,9909.34,2025-08-03,active
ACC_000032,CUST_99999,checking,EUR,6353.85,2023-08-09,suspended
ACC_000033,CUST_02561,checking,USD,5832.57,2025-11-29,active
ACC_000034,CUST_00778,savings,GBP,4429.43,2024-06-07,active
ACC_000035,CUST_01396,checking,EUR,7007.04,2024-09-15,closed
ACC_000036,CUST_02197,savings,EUR,5785.57,2023-07-26,closed
ACC_000037,CUST_01498,savings,EUR,3556.19,2024-03-10,closed
ACC_000038,CUST_03739,checking,EUR,4058.59,2023-10-27,suspended
ACC_000039,CUST_03917,checking,USD,1940.34,2022-04-21,active
ACC_000040,CUST_00926,savings,USD,1566.3,31-02-2020,suspended
ACC_000041,CUST_00480,savings,GBP,4110.04,2025-07-07,closed
ACC_000042,CUST_04839,checking,USD,8462.64,2021-07-30,suspended
ACC_000043,CUST_03589,savings,USD,1897.51,2021-06-08,closed
ACC_000044,CUST_02937,savings,USD,7509.11,2023-12-28,suspended
ACC_000045,CUST_01070,checking,EUR,2603.2,2024-09-07,active
ACC_000046,CUST_03369,checking,GBP,-359.81,2023-04-07,active
ACC_000047,CUST_02143,checking,GBP,6639.8,2022-01-19,suspended
ACC_000048,CUST_04299,savings,USD,9886.3,2022-03-08,closed
ACC_000049,CUST_04252,savings,EUR,2432.79,2022-08-01,suspended
